prompt	ground_truth	candidate
run around left twice and run around right ->	" turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn right run turn right run turn right run turn right run
"	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn right run turn right run turn right run
look around left twice and jump around right ->	" turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn right jump turn right jump turn right jump turn right jump
"	 turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn right jump turn right jump turn right jump
jump around right and jump around left twice ->	" turn right jump turn right jump turn right jump turn right jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
"	 turn right jump turn right jump turn right jump turn right jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
jump around right after walk around left twice ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump turn right jump
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump
look around left twice and run around left ->	" turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left run turn left run turn left run turn left run
"	 turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left run turn left run turn left run
jump around right and walk around left twice ->	" turn right jump turn right jump turn right jump turn right jump turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn right jump turn right jump turn right jump turn right jump turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
look around left twice after look around left ->	" turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
"	 turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
walk around left twice after run around left ->	" turn left run turn left run turn left run turn left run turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn left run turn left run turn left run turn left run turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
jump around right twice after jump around left ->	" turn left jump turn left jump turn left jump turn left jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
"	 turn left jump turn left jump turn left jump turn left jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
walk around left twice after run around right ->	" turn right run turn right run turn right run turn right run turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn right run turn right run turn right run turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
jump around right twice and turn around left twice ->	" turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn left turn left turn left turn left turn left turn left turn left turn left
"	 turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn left turn left turn left turn left turn left turn left turn left turn left
walk around left twice after turn around right twice ->	" turn right turn right turn right turn right turn right turn right turn right turn right turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn right turn right turn right turn right turn right turn right turn right turn right turn right turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
walk around left twice after turn around left twice ->	" turn left turn left turn left turn left turn left turn left turn left turn left turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn left turn left turn left turn left turn left turn left turn left turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
jump around left and walk around left twice ->	" turn left jump turn left jump turn left jump turn left jump turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn left jump turn left jump turn left jump turn left jump turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
run around left after run around left twice ->	" turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run
"	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run
walk around right twice and look around left ->	" turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn left look turn left look turn left look turn left look
"	 turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn left look turn left look turn left look turn left look
jump around right twice after run around left ->	" turn left run turn left run turn left run turn left run turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
"	 turn left run turn left run turn left run turn left run turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
look around left after look around left twice ->	" turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
"	 turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
jump around right twice after walk around left ->	" turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
"	 turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
run around right after run around right twice ->	" turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run
"	 turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run
walk around left after walk around left twice ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
run around left twice after walk around left ->	" turn left walk turn left walk turn left walk turn left walk turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run
"	 turn left walk turn left walk turn left walk turn left walk turn left run turn left run turn left run turn left run turn left run turn left run turn left run
walk around left twice and turn around right twice ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right turn right turn right turn right turn right turn right turn right turn right
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right turn right turn right turn right turn right turn right turn right turn right
turn around left twice and jump around right twice ->	" turn left turn left turn left turn left turn left turn left turn left turn left turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
"	 turn left turn left turn left turn left turn left turn left turn left turn left turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
walk around left twice and jump around right ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump turn right jump
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump
turn around right twice after run around left twice ->	" turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn right turn right turn right turn right turn right turn right turn right turn right
"	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn right turn right turn right turn right turn right turn right turn right turn right
walk around left and run around right twice ->	" turn left walk turn left walk turn left walk turn left walk turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run
"	 turn left walk turn left walk turn left walk turn left walk turn right run turn right run turn right run turn right run turn right run turn right run
jump around left twice and turn around left twice ->	" turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left turn left turn left turn left turn left turn left turn left turn left
"	 turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left turn left turn left turn left turn left turn left
run around left and look around right twice ->	" turn left run turn left run turn left run turn left run turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
"	 turn left run turn left run turn left run turn left run turn right look turn right look turn right look turn right look turn right look turn right look turn right look
walk around right twice after turn around right twice ->	" turn right turn right turn right turn right turn right turn right turn right turn right turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
"	 turn right turn right turn right turn right turn right turn right turn right turn right turn right turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
jump around right twice after turn around right twice ->	" turn right turn right turn right turn right turn right turn right turn right turn right turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
"	 turn right turn right turn right turn right turn right turn right turn right turn right turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
run around left twice after look around left ->	" turn left look turn left look turn left look turn left look turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run
"	 turn left look turn left look turn left look turn left look turn left run turn left run turn left run turn left run turn left run turn left run turn left run
run around right after walk around right twice ->	" turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right run turn right run turn right run turn right run
"	 turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right run turn right run turn right run turn right run
jump around right twice after turn around left twice ->	" turn left turn left turn left turn left turn left turn left turn left turn left turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
"	 turn left turn left turn left turn left turn left turn left turn left turn left turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
run around right twice after walk around left ->	" turn left walk turn left walk turn left walk turn left walk turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run
"	 turn left walk turn left walk turn left walk turn left walk turn right run turn right run turn right run turn right run turn right run turn right run turn right run
jump around left after walk around left twice ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left jump turn left jump turn left jump turn left jump
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left jump turn left jump turn left jump turn left jump
run around right twice and walk around right ->	" turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right walk turn right walk turn right walk turn right walk
"	 turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right walk turn right walk turn right walk
look around right twice after jump around right ->	" turn right jump turn right jump turn right jump turn right jump turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
"	 turn right jump turn right jump turn right jump turn right jump turn right jump turn right look turn right look turn right look turn right look turn right look turn right look turn right look
walk around right twice after jump around right ->	" turn right jump turn right jump turn right jump turn right jump turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
"	 turn right jump turn right jump turn right jump turn right jump turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
walk around right twice after turn around left twice ->	" turn left turn left turn left turn left turn left turn left turn left turn left turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
"	 turn left turn left turn left turn left turn left turn left turn left turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
walk around left after walk around right twice ->	" turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn left walk turn left walk turn left walk turn left walk
"	 turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn left walk turn left walk turn left walk turn left walk
look around right twice after turn around left twice ->	" turn left turn left turn left turn left turn left turn left turn left turn left turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
"	 turn left turn left turn left turn left turn left turn left turn left turn left turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
turn around left thrice after turn around left thrice ->	" turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left
"	 turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left
jump around left and jump around left twice ->	" turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
"	 turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
walk around right twice after jump around left ->	" turn left jump turn left jump turn left jump turn left jump turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
"	 turn left jump turn left jump turn left jump turn left jump turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
jump around left twice after jump around right ->	" turn right jump turn right jump turn right jump turn right jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
"	 turn right jump turn right jump turn right jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
walk around left twice and run around left ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left run turn left run turn left run turn left run
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left run turn left run turn left run
run around left twice after run around right ->	" turn right run turn right run turn right run turn right run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run
"	 turn right run turn right run turn right run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run
turn around left twice after walk around left twice ->	" turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left turn left turn left turn left turn left turn left turn left turn left
"	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left turn left turn left turn left turn left turn left turn left turn left
turn around right twice and look around left twice ->	" turn right turn right turn right turn right turn right turn right turn right turn right turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
"	 turn right turn right turn right turn right turn right turn right turn right turn right turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
run around right twice and run around left ->	" turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn left run turn left run turn left run turn left run
"	 turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn left run turn left run turn left run
