prompt	ground_truth	candidate	predict	exact_match
add the numbers L 2 K 7 J 0 I 8 H 5 G 1 F 5 E 5 D 8 C 2 B 4 A 9 and I 6 H 2 G 3 F 3 E 4 D 7 C 3 B 0 A 0	271474905549	 L 2 K 7 J 6 I 0 H 8 G 4 F 8 E 9 D 5 C 5 B 4 A 9	276084895549	False
add the numbers M 9 L 7 K 7 J 4 I 0 H 5 G 3 F 7 E 1 D 9 C 0 B 2 A 7 and E 3 D 8 C 7 B 7 A 5	9774053757802	 M 9 L 7 K 7 J 4 I 0 H 5 G 3 F 7 E 4 D 7 C 7 B 9 A 2	9774053747792	False
add the numbers G 3 F 8 E 6 D 6 C 3 B 8 A 8 and E 6 D 1 C 2 B 8 A 4	3927672	 G 3 F 8 E 6 D 6 C 3 B 8 A 8	3866388	False
add the numbers D 4 C 6 B 3 A 4 and D 1 C 1 B 8 A 0	5814	 D 5 C 7 B 1 A 4	5714	False
add the numbers E 4 D 3 C 7 B 0 A 3 and D 1 C 8 B 4 A 7	45550	 E 5 D 4 C 3 B 4 A 0	54340	False
add the numbers K 4 J 1 I 8 H 1 G 5 F 3 E 6 D 0 C 3 B 7 A 5 and H 8 G 2 F 9 E 7 D 0 C 4 B 0 A 6	41898330781	 K 4 J 1 I 8 H 1 G 5 F 3 E 6 D 0 C 3 B 7 A 5	41815360375	False
add the numbers H 8 G 5 F 8 E 3 D 4 C 5 B 9 A 4 and J 8 I 0 H 1 G 9 F 8 E 5 D 5 C 2 B 8 A 4	8105689878	 K 0 J 5 I 9 H 0 G 4 F 6 E 8 D 9 C 7 B 1 A 8	05904689718	False
add the numbers N 2 M 1 L 8 K 1 J 8 I 3 H 0 G 2 F 4 E 1 D 8 C 4 B 2 A 3 and K 1 J 2 I 7 H 1 G 5 F 7 E 3 D 5 C 9 B 2 A 2	21831018154345	 N 2 M 1 L 8 K 2 J 0 I 0 H 1 G 7 F 11 E 4 D 13 C 13 B 4 A 5	21820017114131345	False
add the numbers D 2 C 8 B 9 A 8 and D 1 C 0 B 7 A 2	3970	 D 3 C 8 B 6 A 0	3860	False
add the numbers J 3 I 7 H 8 G 8 F 2 E 6 D 0 C 5 B 4 A 9 and F 9 E 6 D 7 C 7 B 3 A 0	3789228279	 J 3 I 7 H 8 G 8 F 2 E 6 D 7 C 7 B 3 A 9	3788267739	False
add the numbers G 2 F 4 E 3 D 0 C 0 B 7 A 3 and D 9 C 2 B 7 A 3	2439346	 G 2 F 4 E 3 D 9 C 2 B 0 A 6	2439206	False
add the numbers H 2 G 3 F 9 E 4 D 1 C 5 B 8 A 5 and D 8 C 4 B 6 A 8	23950053	 H 2 G 3 F 9 E 4 D 9 C 9 B 4 A 3	23949943	False
add the numbers L 6 K 5 J 1 I 5 H 7 G 9 F 7 E 8 D 8 C 1 B 8 A 8 and F 1 E 7 D 6 C 8 B 4 A 3	651579965031	 L 7 K 2 J 8 I 0 H 1 G 0 F 8 E 5 D 5 C 9 B 2 A 11	7280108559211	False
add the numbers D 9 C 4 B 2 A 3 and I 8 H 1 G 2 F 2 E 1 D 4 C 9 B 6 A 2	812224385	 I 8 H 1 G 2 F 2 E 1 D 4 C 9 B 6 A 5	812214965	False
add the numbers D 2 C 8 B 7 A 9 and D 4 C 0 B 4 A 7	6926	 D 6 C 8 B 1 A 6	6816	False
add the numbers D 6 C 4 B 0 A 7 and D 7 C 3 B 2 A 1	13728	 E 3 D 1 C 7 B 2 A 8	31728	False
add the numbers M 1 L 7 K 4 J 1 I 5 H 3 G 4 F 6 E 2 D 5 C 1 B 1 A 1 and M 7 L 6 K 6 J 9 I 8 H 5 G 0 F 3 E 8 D 8 C 2 B 3 A 8	9411385013349	 M 8 L 3 K 0 J 0 I 0 H 8 G 4 F 9 E 0 D 0 C 3 B 4 A 9	8300084900349	False
add the numbers F 6 E 7 D 5 C 7 B 0 A 8 and I 5 H 0 G 5 F 4 E 7 D 3 C 3 B 2 A 6	506149034	 I 5 H 7 G 0 F 4 E 7 D 3 C 3 B 2 A 6	570473326	False
add the numbers F 1 E 1 D 6 C 9 B 1 A 1 and H 4 G 3 F 7 E 9 D 9 C 3 B 9 A 7	43916308	 H 5 G 4 F 8 E 0 D 6 C 0 B 0 A 8	54806008	False
add the numbers D 6 C 6 B 8 A 7 and D 7 C 4 B 1 A 5	14102	 E 3 D 1 C 1 B 9 A 2	31192	False
add the numbers K 2 J 0 I 6 H 8 G 4 F 8 E 8 D 4 C 6 B 3 A 7 and F 9 E 1 D 6 C 1 B 2 A 7	20685800764	 K 2 J 0 I 6 H 8 G 4 F 9 E 1 D 6 C 1 B 2 A 7	20684916127	False
add the numbers G 5 F 8 E 8 D 2 C 1 B 8 A 9 and D 7 C 5 B 7 A 2	5889761	 G 5 F 8 E 8 D 2 C 1 B 8 A 9	5882189	False
add the numbers H 3 G 4 F 2 E 4 D 4 C 8 B 0 A 1 and K 9 J 8 I 0 H 2 G 9 F 5 E 5 D 6 C 4 B 7 A 2	98063801273	 K 9 J 8 I 0 H 5 G 3 F 7 E 9 D 0 C 4 B 7 A 3	98053790473	False
add the numbers F 8 E 0 D 4 C 5 B 3 A 4 and E 6 D 9 C 1 B 1 A 4	873648	 F 1 E 7 D 5 C 6 B 4 A 8	175648	False
add the numbers D 8 C 9 B 7 A 5 and D 5 C 0 B 1 A 6	13991	 E 1 D 5 C 0 B 8 A 1	15081	False
add the numbers L 5 K 1 J 4 I 4 H 6 G 4 F 3 E 2 D 9 C 8 B 1 A 0 and D 6 C 0 B 5 A 0	514464335860	 L 5 K 1 J 4 I 4 H 6 G 4 F 3 E 2 D 9 C 8 B 1 A 0	514464329810	False
add the numbers D 8 C 0 B 0 A 3 and F 1 E 2 D 0 C 9 B 3 A 0	128933	 F 1 E 2 D 8 C 9 B 3 A 3	128933	True
add the numbers D 6 C 5 B 9 A 0 and G 5 F 3 E 2 D 1 C 4 B 6 A 3	5328053	 G 5 F 3 E 2 D 1 C 4 B 6 A 3	5321463	False
add the numbers I 9 H 2 G 1 F 1 E 6 D 9 C 3 B 8 A 2 and I 6 H 9 G 7 F 4 E 8 D 5 C 9 B 8 A 8	1618655370	 I 5 H 0 G 0 F 5 E 4 D 4 C 2 B 6 A 0	500544260	False
add the numbers K 4 J 8 I 6 H 8 G 4 F 9 E 7 D 4 C 1 B 1 A 2 and N 6 M 6 L 6 K 9 J 2 I 2 H 7 G 4 F 7 E 4 D 1 C 3 B 0 A 3	66740959715415	 N 6 M 6 L 6 K 9 J 2 I 2 H 7 G 4 F 7 E 4 D 1 C 3 B 0 A 3	66692274741303	False
